0, 0
2, 0
1, 0
3, 1
4, 3
5, 3
6, 3
1316, 3
1612, 3
1877, 1
1878, 1
2187, 1
2489, 1
2527, 1
5012, 1
6075, 1
6076, 1
7139, 1
9443, 1
12284, 1
15548, 1
15549, 1
19, 3
20, 3
22, 4
218, 66
233, 1
234, 1
253, 66
435, 23
457, 3
627, 1
746, 66
829, 3
977, 3
978, 3
1127, 59
1140, 8
1303, 3
1304, 3
1305, 3
1317, 1
1325, 3
1326, 3
1434, 3
1613, 9
1614, 3
1724, 3
1796, 66
1797, 66
2660, 3
2717, 3
3339, 66
3535, 8
3787, 3
3824, 1
4122, 3
4403, 3
4426, 3
5022, 1
5068, 3
5527, 3
6021, 66
6022, 66
6023, 66
6024, 66
6906, 3
7302, 66
7310, 66
7594, 66
9446, 3
9523, 3
11174, 3
11175, 3
15420, 3
654, 3
3029, 3
3626, 3
3627, 3
3667, 3
4421, 10
5740, 4
7184, 3
7796, 3
7797, 3
7798, 3
7993, 3
8162, 3
8962, 3
9675, 3
9676, 3
10084, 3
10085, 3
12291, 3
16692, 3
17112, 3
7, 3
8, 3
9, 3
10, 3
11, 3
12, 3
652, 3
655, 3
1084, 3
1735, 3
3358, 3
4250, 3
6230, 3
9423, 3
11292, 11
15685, 3
17059, 3
38, 4
112, 4
379, 12
485, 13
486, 13
1173, 4
1174, 4
1331, 3
1398, 4
1493, 4
1753, 4
1972, 3
2320, 4
2395, 3
2769, 4
2790, 3
3143, 4
5370, 4
6777, 4
6980, 59
7185, 4
8705, 12
9589, 4
9590, 4
10091, 3
1575, 3
5857, 3
14462, 3
693, 59
1082, 14
1083, 14
1085, 3
3908, 3
3909, 3
6042, 3
951, 3
1193, 3
1334, 3
2132, 3
2133, 3
2204, 8
3128, 3
4462, 3
13117, 3
13239, 3
13524, 3
16315, 3
13, 15
14, 15
15, 15
16, 16
17, 16
135, 16
141, 17
249, 17
250, 16
260, 18
338, 17
527, 12
868, 20
870, 16
871, 16
986, 18
1690, 17
1931, 16
2098, 16
3078, 16
3625, 16
4066, 16
4615, 21
4755, 22
5472, 16
5473, 16
5948, 16
6796, 16
7240, 16
7358, 16
8023, 16
8224, 18
8868, 16
11265, 16
12915, 16
15208, 16
15745, 16
16208, 16
745, 32
5949, 16
8022, 16
18, 3
21, 3
666, 59
826, 24
937, 24
938, 24
992, 24
1302, 4
1655, 24
1659, 4
2596, 3
2932, 24
3224, 4
3472, 24
3473, 24
3474, 24
3485, 26
3741, 24
3788, 3
3847, 24
4205, 24
5801, 3
6125, 24
6538, 18
6656, 3
8170, 24
9871, 27
9958, 24
10651, 3
10652, 3
11811, 26
14650, 3
15714, 26
16129, 24
16518, 24
17800, 24
1235, 24
3287, 3
3658, 3
4625, 24
4626, 24
4824, 3
4825, 3
5800, 3
6315, 3
7509, 3
8773, 3
8774, 3
8775, 3
8776, 3
11156, 3
11785, 3
11820, 3
12716, 3
12717, 3
12933, 24
12934, 24
14703, 3
16519, 3
629, 24
1104, 28
1105, 28
1106, 28
1107, 28
1108, 28
1109, 28
246, 59
570, 59
635, 17
1210, 4
1212, 4
1250, 59
1272, 29
1372, 17
2211, 24
3015, 24
3080, 17
3186, 24
3542, 1
4033, 24
4270, 24
8021, 3
9854, 30
11981, 17
13175, 3
13994, 3
14354, 3
16533, 24
145, 18
621, 4
630, 24
631, 24
719, 31
814, 4
881, 4
1911, 18
1917, 4
2007, 3
2082, 4
2160, 66
2186, 18
3178, 18
3179, 18
3180, 18
3765, 4
4431, 18
4873, 18
4874, 18
4875, 18
5143, 4
5311, 4
5315, 24
5336, 4
6539, 18
6540, 18
6818, 24
